Timestamp,Stock,Bucket,Decision,Score,Signal,Price,Reason,Regime,Exit_Reason
2026-06-05 02:14:37,PORTFOLIO,ALL,HALTED,0,—,0,BEAR market detected (BEAR 🐻). No new BUY orders — capital protection mode.,BEAR 🐻,
2026-06-05 02:14:44,Tribhovandas Bhimji Zaveri,Swing,HOLD,0,TRAILING,177.49,Trailing stop activated at 7.3% gain. Trail stop ₹170.39 — moves up with price.,BEAR 🐻,TRAIL_ACTIVATED
2026-06-17 09:19:17,RELIANCE,Intraday,NO-TRADE,56.0,BUY 🟢,1319.0,❌ **RELIANCE** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:18,TCS,—,NO-TRADE,50.0,NEUTRAL ⚪,2217.6,Signal is NEUTRAL ⚪ — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:19:20,HDFCBANK,Intraday,NO-TRADE,58.0,BUY 🟢,783.5,❌ **HDFCBANK** REJECTED for Intraday | Score: 64/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:21,INFY,—,NO-TRADE,51.0,BUY 🟢,1155.7,"No suitable bucket for INFY. Score 51/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:19:24,ICICIBANK,Intraday,NO-TRADE,58.0,BUY 🟢,1338.8,❌ **ICICIBANK** REJECTED for Intraday | Score: 66/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:27,HINDUNILVR,Intraday,NO-TRADE,55.0,BUY 🟢,2201.8,❌ **HINDUNILVR** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:28,SBIN,—,NO-TRADE,56.0,NEUTRAL ⚪,1015.85,Signal is NEUTRAL ⚪ — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:19:30,BHARTIARTL,Intraday,NO-TRADE,55.0,BUY 🟢,1849.8,❌ **BHARTIARTL** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:33,ITC,Intraday,NO-TRADE,55.0,BUY 🟢,290.85,❌ **ITC** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:36,KOTAKBANK,Intraday,NO-TRADE,58.0,BUY 🟢,407.25,❌ **KOTAKBANK** REJECTED for Intraday | Score: 66/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:39,BAJFINANCE,Intraday,NO-TRADE,59.0,BUY 🟢,952.4,❌ **BAJFINANCE** REJECTED for Intraday | Score: 67/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:40,WIPRO,—,NO-TRADE,44.0,SELL 🔴,184.8,Score 44/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:19:43,AXISBANK,Intraday,NO-TRADE,59.0,BUY 🟢,1357.7,❌ **AXISBANK** REJECTED for Intraday | Score: 66/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:45,ASIANPAINT,Intraday,NO-TRADE,56.0,BUY 🟢,2754.6,❌ **ASIANPAINT** REJECTED for Intraday | Score: 63/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:48,MARUTI,Intraday,NO-TRADE,58.0,BUY 🟢,13640.0,❌ **MARUTI** REJECTED for Intraday | Score: 67/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:51,TITAN,Intraday,NO-TRADE,57.0,BUY 🟢,4340.4,❌ **TITAN** REJECTED for Intraday | Score: 64/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:52,SUNPHARMA,—,NO-TRADE,52.0,BUY 🟢,1811.6,"No suitable bucket for SUNPHARMA. Score 52/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:19:55,ULTRACEMCO,Intraday,NO-TRADE,56.0,BUY 🟢,11351.0,❌ **ULTRACEMCO** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:19:56,NESTLEIND,—,NO-TRADE,45.0,SELL 🔴,1388.9,Score 45/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:19:57,ADANIENT,—,NO-TRADE,54.0,BUY 🟢,2940.9,"No suitable bucket for ADANIENT. Score 54/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:19:58,ADANIPORTS,—,NO-TRADE,53.0,BUY 🟢,1810.9,"No suitable bucket for ADANIPORTS. Score 53/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:19:58,POWERGRID,—,NO-TRADE,53.0,NEUTRAL ⚪,284.35,Signal is NEUTRAL ⚪ — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:19:59,NTPC,—,NO-TRADE,46.0,NEUTRAL ⚪,354.9,Score 46/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:00,ONGC,—,NO-TRADE,47.0,NEUTRAL ⚪,247.2,Score 47/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:00,COALINDIA,—,NO-TRADE,44.0,SELL 🔴,449.45,Score 44/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:03,TMCV,Intraday,NO-TRADE,58.0,BUY 🟢,400.0,❌ **TMCV** REJECTED for Intraday | Score: 64/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:03,TATASTEEL,—,NO-TRADE,47.0,NEUTRAL ⚪,195.95,Score 47/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:06,HCLTECH,Intraday,NO-TRADE,55.0,BUY 🟢,1167.5,❌ **HCLTECH** REJECTED for Intraday | Score: 57/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:07,JSWSTEEL,—,NO-TRADE,45.0,STRONG SELL 🔴🔴,1271.3,Score 45/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:10,BAJAJFINSV,Intraday,NO-TRADE,55.0,BUY 🟢,1783.9,❌ **BAJAJFINSV** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:14,LT,Intraday,NO-TRADE,58.0,BUY 🟢,4183.3,❌ **LT** REJECTED for Intraday | Score: 66/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:16,M&M,Intraday,NO-TRADE,59.0,STRONG BUY 🟢🟢,3133.0,❌ **M&M** REJECTED for Intraday | Score: 64/100 | Votes: 2/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:17,RELIANCE,Intraday,NO-TRADE,56.0,BUY 🟢,1318.0,❌ **RELIANCE** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:17,Jindal Stainless,—,NO-TRADE,54.0,BUY 🟢,710.55,"No suitable bucket for Jindal Stainless. Score 54/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:20:18,TCS,—,NO-TRADE,50.0,NEUTRAL ⚪,2228.4,Signal is NEUTRAL ⚪ — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:20:21,Mazagon Dock,Intraday,NO-TRADE,55.0,BUY 🟢,2488.2,❌ **Mazagon Dock** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:21,HDFCBANK,Intraday,NO-TRADE,58.0,BUY 🟢,783.8,❌ **HDFCBANK** REJECTED for Intraday | Score: 64/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:22,TMPV,—,NO-TRADE,54.0,BUY 🟢,391.0,"No suitable bucket for TMPV. Score 54/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:20:22,INFY,—,NO-TRADE,51.0,BUY 🟢,1158.0,"No suitable bucket for INFY. Score 51/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:20:22,JINDAL STEEL,—,NO-TRADE,47.0,NEUTRAL ⚪,1129.2,Score 47/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:23,Rail Vikas Nigam,—,NO-TRADE,49.0,SELL 🔴,240.6,Score 49/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:24,Cochin Shipyard,—,NO-TRADE,53.0,NEUTRAL ⚪,1442.7,Signal is NEUTRAL ⚪ — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:20:25,ICICIBANK,Intraday,NO-TRADE,58.0,BUY 🟢,1340.0,❌ **ICICIBANK** REJECTED for Intraday | Score: 66/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:27,Bharat Dynamics,Intraday,NO-TRADE,55.0,BUY 🟢,1240.5,❌ **Bharat Dynamics** REJECTED for Intraday | Score: 57/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:28,HINDUNILVR,Intraday,NO-TRADE,55.0,BUY 🟢,2200.2,❌ **HINDUNILVR** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:29,SBIN,—,NO-TRADE,56.0,NEUTRAL ⚪,1016.95,Signal is NEUTRAL ⚪ — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:20:30,TVS Motors,Intraday,NO-TRADE,55.0,BUY 🟢,3447.0,❌ **TVS Motors** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:31,IRCTC,—,NO-TRADE,50.0,SELL 🔴,520.6,Signal is SELL 🔴 — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:20:32,BHARTIARTL,Intraday,NO-TRADE,55.0,BUY 🟢,1844.7,❌ **BHARTIARTL** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:34,DMART,Intraday,NO-TRADE,55.0,BUY 🟢,4242.5,❌ **DMART** REJECTED for Intraday | Score: 62/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:35,IDEA,—,NO-TRADE,53.0,BUY 🟢,14.58,"No suitable bucket for IDEA. Score 53/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:20:38,Garden Reach Shipbuilders,Intraday,NO-TRADE,55.0,BUY 🟢,2701.0,❌ **Garden Reach Shipbuilders** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:39,HAL,—,NO-TRADE,46.0,SELL 🔴,4273.9,Score 46/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:39,BEL,—,NO-TRADE,51.0,SELL 🔴,406.75,Signal is SELL 🔴 — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:20:41,ITC,Intraday,NO-TRADE,55.0,BUY 🟢,290.7,❌ **ITC** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:43,IREDA,Intraday,NO-TRADE,58.0,STRONG BUY 🟢🟢,125.78,❌ **IREDA** REJECTED for Intraday | Score: 59/100 | Votes: 2/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:43,Oil India,—,NO-TRADE,47.0,NEUTRAL ⚪,417.4,Score 47/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:44,KOTAKBANK,Intraday,NO-TRADE,58.0,BUY 🟢,407.45,❌ **KOTAKBANK** REJECTED for Intraday | Score: 66/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:46,Eternal (formerly Zomato),Intraday,NO-TRADE,59.0,STRONG BUY 🟢🟢,254.35,❌ **Eternal (formerly Zomato)** REJECTED for Intraday | Score: 64/100 | Votes: 2/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:49,COLPAL,Intraday,NO-TRADE,59.0,STRONG BUY 🟢🟢,2072.2,❌ **COLPAL** REJECTED for Intraday | Score: 64/100 | Votes: 2/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:50,SBILIFE,—,NO-TRADE,46.0,SELL 🔴,1769.5,Score 46/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:50,ICICIPRULI,—,NO-TRADE,51.0,SELL 🔴,491.55,Signal is SELL 🔴 — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:20:52,DIVISLAB,—,NO-TRADE,54.0,STRONG BUY 🟢🟢,6732.0,"No suitable bucket for DIVISLAB. Score 54/100, 2/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:20:52,BAJFINANCE,Intraday,NO-TRADE,59.0,BUY 🟢,954.7,❌ **BAJFINANCE** REJECTED for Intraday | Score: 67/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:52,PIDILITIND,—,NO-TRADE,53.0,SELL 🔴,1572.9,Signal is SELL 🔴 — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:20:53,WIPRO,—,NO-TRADE,44.0,SELL 🔴,184.9,Score 44/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:53,CIPLA,—,NO-TRADE,50.0,SELL 🔴,1368.2,Signal is SELL 🔴 — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:20:54,APOLLOHOSP,—,NO-TRADE,53.0,BUY 🟢,8425.0,"No suitable bucket for APOLLOHOSP. Score 53/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:20:55,BAJAJ-AUTO,—,NO-TRADE,48.0,NEUTRAL ⚪,9966.0,Score 48/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:20:56,AXISBANK,Intraday,NO-TRADE,59.0,BUY 🟢,1359.2,❌ **AXISBANK** REJECTED for Intraday | Score: 66/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:58,HEROMOTOCO,Intraday,NO-TRADE,55.0,BUY 🟢,5016.2,❌ **HEROMOTOCO** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:20:59,ASIANPAINT,Intraday,NO-TRADE,56.0,BUY 🟢,2753.7,❌ **ASIANPAINT** REJECTED for Intraday | Score: 63/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:01,EICHERMOT,Intraday,NO-TRADE,60.0,BUY 🟢,7528.0,❌ **EICHERMOT** REJECTED for Intraday | Score: 69/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:01,TATACONSUM,—,NO-TRADE,48.0,NEUTRAL ⚪,1125.6,Score 48/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:21:02,BRITANNIA,—,NO-TRADE,52.0,SELL 🔴,5199.5,Signal is SELL 🔴 — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:21:02,MARUTI,Intraday,NO-TRADE,59.0,BUY 🟢,13653.0,❌ **MARUTI** REJECTED for Intraday | Score: 69/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:03,DRREDDY,—,NO-TRADE,49.0,NEUTRAL ⚪,1270.0,Score 49/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:21:03,TECHM,—,NO-TRADE,44.0,SELL 🔴,1465.3,Score 44/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:21:04,HDFCLIFE,—,NO-TRADE,52.0,NEUTRAL ⚪,575.8,Signal is NEUTRAL ⚪ — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:21:06,TITAN,Intraday,NO-TRADE,57.0,BUY 🟢,4340.0,❌ **TITAN** REJECTED for Intraday | Score: 64/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:06,SUNPHARMA,—,NO-TRADE,46.0,SELL 🔴,1810.4,Score 46/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
